Religious,founded1,religious_affiliation,founded2
Seventh-day Adventist ,1754,Non-sectarian,1701
Christian,1766,Non-sectarian,1740
Methodist,1775,Non-sectarian,1742
Churches of Christ,1791,Secular,1746
Catholic,1791,Non-sectarian,1749
Moravian Church in America,1793,Secular,1764
Christian,1803,Non-sectarian,1769
Christian,1806,Non-sectarian,1770
Methodist,1807,Secular,1772
Southern Baptist Convention,1808,Non-sectarian,1773
Pre-Christian,1809,Non-sectarian,1773
Methodist,1813,Non-sectarian,1780
Reformed Church in America,1814,Non-sectarian,1781
Jewish,1815,Secular,1782
Christian,1816,Non-sectarian,1784
Churches of Christ,1816,Secular,1784
Churches of Christ,1817,Non-sectarian,1784
Christian,1817,Non-sectarian,1785
Christian,1819,Secular,1787
Methodist,1819,Non-sectarian,1787
Christian,1821,Non-sectarian,1789
Christian,1821,Secular,1801
Catholic,1823,Non-sectarian,1802
Christian,1824,Non-sectarian,1804
Christian,1824,Non-sectarian,1807
Christian,1824,Non-sectarian,1810
Christian,1825,Secularism,1812
Catholic,1825,Non-sectarian,1812
Presbyterian Church of the USA,1826,Secular,1814
Presbyterian Church (USA),1826,Non-sectarian,1818
Methodist,1826,Non-sectarian,1818
Tennessee Baptist Convention,1827,Non-sectarian,1819
Catholic Camous Ministry,1828,Non-sectarian,1819
Christian,1829,Non-sectarian,1821
Evangelical ,1830,Non-sectarian,1822
Evangelical ,1830,Non-sectarian,1823
Methodist,1831,Non-sectarian,1824
Christian,1831,Non-sectarian,1824
Christian,1834,Secular,1826
Catholic,1835,Non-sectarian,1826
Church of Christ ,1836,Non-sectarian,1826
Chistian denomination ,1837,Non-sectarian,1827
Catholic,1837,Non-sectarian,1828
Catholic,1837,Non-sectarian,1828
Reformed Presbyterian Church of North America,1837,Non-sectarian,1829
Presbyterian Church (U.S.A.),1837,Non-sectarian,1829
United Methodist Church,1838,Secular,1830
Catholic,1838,Non-sectarian,1830
Catholic,1839,Non-sectarian,1830
Churches of Christ,1839,Non-sectarian,1831
Catholic,1839,Non-sectarian,1831
Jewish,1839,Non-sectarian,1831
United Methodist Church,1839,Non-sectarian,1831
Christian,1840,Non-sectarian,1831
Christian,1840,Non-sectarian,1832
Christian,1840,Non-sectarian,1832
Islam,1841,Non-sectarian,1832
Christian,1841,Non-sectarian,1832
Roman Catholic,1842,Non-sectarian,1833
Catholic,1842,Non-sectarian,1833
Christian (non-denominational),1842,Non-sectarian,1833
Buddhism,1842,Non-sectarian,1833
Roman Catholic,1843,Non-sectarian,1833
Christian,1843,Non-sectarian,1833
Claremont Colleges,1844,Non-sectarian,1834
Christian,1844,Non-sectarian,1834
Christian,1844,Secular,1834
Quaker,1844,Secular,1834
Christian,1844,Secular,1834
Christian,1845,Non-sectarian,1834
Christian,1845,Non-sectarian,1835
Claremont Colleges,1845,Non-sectarian,1835
Middlebury College,1845,Non-sectarian,1835
Southern Baptist Convention,1845,Non-sectarian,1836
Judaism,1846,Secular,1836
Claremont Colleges,1846,Non-sectarian,1837
Christian Evangelical Church,1846,Non-sectarian,1837
Evangelical Christian,1846,Non-sectarian,1838
Evangelical Christian,1846,Secularism,1840
Roman Catholic (Religious of the Sacred Heart of Mary),1846,Non-sectarian,1840
Christian,1846,Non-sectarian,1841
Claremont Colleges,1846,Non-sectarian,1841
Episcopal Church,1847,Non-sectarian,1842
Jesuit,1847,Non-sectarian,1842
Christian,1847,Non-sectarian,1842
Catholic,1847,Non-sectarian,1842
Catholic,1847,Non-sectarian,1842
Presbyterian Church (USA),1847,Non-sectarian,1842
Catholic,1847,Non-sectarian,1842
Methodist,1848,Non-sectarian,1842
Catholic,1848,Non-sectarian,1843
Southern Baptist,1848,Non-sectarian,1844
Nondenominational,1848,Non-sectarian,1844
Episcopal Church ,1848,Non-sectarian,1844
United Methodist Church,1848,Non-sectarian,1845
Newman Catholic Community,1848,Non-sectarian,1846
Catholic,1848,Non-sectarian,1846
Catholic,1849,Non-sectarian,1846
Christian,1849,Non-sectarian,1846
Catholic,1849,Non-sectarian,1846
Jewish,1849,Non-sectarian,1848
baptist,1850,Secular,1848
Roman Catholic,1850,Non-sectarian,1848
Churches of Christ,1850,Non-sectarian,1850
Claremont Colleges,1850,Non-sectarian,1850
Methodist,1850,Non-sectarian,1850
United Church of Christ,1850,Non-sectarian,1850
Baptist,1851,Secularism,1851
Presbyterian Church (USA),1851,Secularism,1851
Methodist,1851,Non-sectarian,1851
Claremont Colleges,1851,Non-sectarian,1851
Seventh-day Adventist Church,1851,Non-sectarian,1851
Lutheran,1851,Non-sectarian,1851
Christian,1851,Secular,1851
National University,1851,Secular,1852
Evangelical Lutheran Church in America,1851,Non-sectarian,1853
Christian (Southern Baptist),1851,Non-sectarian,1853
Mennonite Brethren Church,1851,Non-sectarian,1853
Christian churches and churches of Christ,1852,Non-sectarian,1853
Christian (non-denominational),1852,Secular,1854
Roman Catholic (Sisters of St. Joseph of Carondelet),1852,Non-sectarian,1854
Evangelical Lutheran Church in America,1852,Non-sectarian,1854
Catholic,1852,Non-sectarian,1854
Presbyterian,1852,Non-sectarian,1854
Presbyterian Church (USA),1852,Non-sectarian,1854
Catholic,1853,Non-sectarian,1854
Christian,1853,Non-sectarian,1854
Christian,1853,Non-sectarian,1854
Catholic,1853,Non-sectarian,1855
Roman Catholic,1853,Non-sectarian,1855
Chistian,1853,Non-sectarian,1855
Chistian,1853,Non-sectarian,1855
"Evangelical Lutheran Church in America, California Lutheran University",1854,Non-sectarian,1855
Christian (multidenominational),1854,Non-sectarian,1855
Christian,1854,Non-sectarian,1855
Christian,1854,Non-sectarian,1855
International Church of the Foursquare Gospel,1854,Non-sectarian,1855
Christian,1854,Non-sectarian,1855
Seventh Day Adventist,1854,Non-sectarian,1855
Judaism,1854,Non-sectarian,1856
Laureate International Universities,1854,Non-sectarian,1856
Christian,1854,Non-sectarian,1856
Christian,1855,Non-sectarian,1856
Lutherean,1855,Non-sectarian,1856
Lutheran,1855,Non-sectarian,1856
Roman Catholic Church,1855,Non-sectarian,1857
Westcliff University,1855,Secular,1857
Roman Catholic Church,1856,Non-sectarian,1857
Roman Catholic   ,1856,Non-sectarian,1857
HBCU,1856,Non-sectarian,1858
Roman Catholic,1856,Non-sectarian,1858
Catholic,1856,Non-sectarian,1858
Jesuit Catholic,1856,Secular,1859
Buddhist,1857,Secular,1859
Methodist,1857,Secular,1859
Unitarianism,1857,Secular,1859
Christian,1857,Non-sectarian,1859
Evangelical Lutheran Church in America,1858,Non-sectarian,1859
Roman Catholic Church,1858,Non-sectarian,1859
Jewish,1858,Non-sectarian,1859
Methodist,1858,Secular,1860
Christian,1858,Non-sectarian,1860
Secular (formerly Orthodox Quaker),1858,Non-sectarian,1860
Christian,1859,Non-sectarian,1860
Nazarene ,1859,Secularism,1860
Christian,1859,Non-sectarian,1864
Norwalk Community College,1860,Non-sectarian,1864
Catholic,1860,Secularism,1865
Baptist Christian,1860,Non-sectarian,1865
Methodist,1860,Non-sectarian,1865
Catholic,1861,Secular,1865
Catholic,1861,Secularism,1865
Catholic,1861,Secular,1866
Catholic,1861,Secular,1866
Christian,1862,Non-sectarian,1866
Roman Catholic,1862,Secular,1866
Catholic,1862,Secular,1866
Methodist,1863,Non-sectarian,1866
Orthodox Jewish,1863,Secular,1866
Catholic,1863,Non-sectarian,1866
Catholic,1863,Non-sectarian,1866
Catholic,1863,Non-sectarian,1866
Catholic,1863,Non-sectarian,1867
Catholic,1863,Non-sectarian,1867
Catholic,1863,Secular,1867
Ukrainian Catholic,1864,Secular,1867
Christian,1864,Non-sectarian,1867
Catholic,1865,Secular,1867
Methodist,1865,Non-sectarian,1868
Christian,1865,Non-sectarian,1868
Christian,1865,Non-sectarian,1868
Christian,1865,Non-sectarian,1868
Southern Baptist Convention,1865,Non-sectarian,1868
Christian,1866,secular,1868
Catholic,1866,Non-sectarian,1868
Christian,1867,Non-sectarian,1869
Catholic,1867,Non-sectarian,1869
Christian,1867,Non-sectarian,1869
Restoration Movement,1867,Non-sectarian,1869
Christian,1867,Non-sectarian,1869
Independent Baptist,1867,Non-sectarian,1869
Catholic,1867,Non-sectarian,1869
Catholic,1867,Non-sectarian,1869
Christian,1867,Non-sectarian,1869
Baptist,1867,Non-sectarian,1870
Church of God,1867,Non-sectarian,1870
Christian,1867,Non-sectarian,1870
Catholic,1867,Non-sectarian,1870
Islam,1867,Non-sectarian,1870
Presbyterian,1867,Non-sectarian,1870
Catholic,1867,Non-sectarian,1870
Christian,1867,Non-sectarian,1870
Christian,1867,Non-sectarian,1870
Catholic,1868,Non-secatarian,1870
Evangelical,1868,Non-sectarian,1870
Christian,1868,Non-sectarian,1871
Catholic,1868,Non-sectarian,1871
Catholic,1868,Non-sectarian,1871
Presbyterian Church (USA),1868,Non-sectarian,1871
Catholic,1869,Non-sectarian,1871
Catholic,1869,Non-sectarian,1871
Christian,1869,Non-sectarian,1871
Presbyterian,1869,Non-sectarian,1872
Catholic,1869,Non-sectarian,1872
Christian,1869,Non-sectarian,1872
Roman Catholic Church,1869,Non-sectarian,1873
Christian,1869,Non-sectarian,1873
Christian,1869,Non-sectarian,1873
Christian,1870,Non-sectarian,1873
Catholic,1870,Non-sectarian,1873
Seventh-day Adventist Church,1870,Non-sectarian,1874
Protestant Christian,1870,Non-sectarian,1874
Christian,1870,Secular,1875
Catholic,1870,Non-sectarian,1875
Baptist,1870,Non-sectarian,1875
Christian,1870,Non-sectarian,1875
Jewish,1870,Non-sectarian,1875
Methodist,1871,Non-sectarian,1876
Roman Catholic Church,1871,Secularism,1876
Interdenominational,1871,Secular,1876
Lutheran,1871,Secularism,1876
Christian-Presbyterian,1872,Non-sectarian,1876
Catholic,1872,Non-sectarian,1877
baptist,1872,Non-sectarian,1877
Catholic,1872,Non-sectarian,1877
Catholic,1872,Non-sectarian,1877
Christian,1873,Non-sectarian,1878
Christian,1873,Non-sectarian,1878
Christian,1873,Non-sectarian,1878
Christian,1873,Non-sectarian,1878
Catholic,1873,Non-sectarian,1879
Christian,1873,Non-sectarian,1879
Christian,1874,Non-sectarian,1881
Christian,1874,Non-sectarian,1881
Catholic,1874,Non-sectarian,1881
Catholic,1874,Non-sectarian,1882
Christian,1874,Non-sectarian,1882
Interdenominational,1875,Non-sectarian,1882
Christian,1875,Non-sectarian,1882
Christian,1875,Non-sectarian,1883
Christian,1875,Non-sectarian,1883
Christian,1875,Non-sectarian,1884
Islam,1875,Non-sectarian,1884
Christian,1875,Non-sectarian,1884
Catholic,1876,Non-sectarian,1884
Baptist General Convention of Texas,1876,Non-sectarian,1884
Catholic,1876,Non-sectarian,1884
Evangelical Christian,1876,Non-sectarian,1885
Christian,1876,Non-sectarian,1885
Roman Catholic Church,1876,Secularism,1885
Christian,1876,Secular,1886
Christian,1876,Secular,1886
Catholic,1877,Secular,1886
Christian,1877,Secular,1886
Christian,1877,Secular,1886
Lutheran,1877,Non-sectarian,1886
Roman Catholic Church,1878,Secular,1886
Methodist,1878,Secular,1886
Christian,1878,Non-sectarian,1886
Christian,1878,Non-sectarian,1886
Christian,1878,Secular,1886
Jewish,1878,Non-sectarian,1887
Christian,1878,Non-sectarian ,1887
Christian,1879,Non-sectarian,1887
Catholic,1879,Non-sectarian,1887
Reformed Presbyterian Church of North America,1879,Non-sectarian,1887
Evangelical Lutheran Church in America,1880,Non-sectarian,1887
Methodist,1880,Non-sectarian,1887
Methodist,1880,Secularism,1888
Christian,1881,Non-sectarian,1889
Christian,1881,Secularism,1889
Methodist,1881,Non-sectarian,1889
American Baptist Churches USA,1881,Non-sectarian,1889
Presbyterian Church (USA),1881,Non-sectarian,1889
Christian,1882,Non-sectarian,1889
Roman Catholic Church,1882,Secularism,1889
Catholic,1882,Non-sectarian,1889
Christian,1882,Non-sectarian,1890
Nondenominational,1882,Secularism,1890
Catholic,1882,Non-sectarian,1890
Christian,1882,Non-sectarian,1890
Christian,1883,Non-sectarian,1890
Evangelical Christian,1883,Non-sectarian,1890
Roman Catholic (Sisters of Notre Dame de Namur),1883,Non-sectarian,1890
Roman Catholic (Society of Jesus (Jesuits)),1883,Non-sectarian,1891
Christian,1883,Non-sectarian,1891
Christian,1883,Non-sectarian,1891
Catholic Franciscan,1883,Secularism,1891
Presbytarian,1883,Secularism,1891
Catholic,1884,Non-sectarian,1891
Roman Catholic Church - Society of Jesus,1884,Secularism,1891
Southern Baptist,1884,Non-sectarian,1891
Christian,1884,Non-sectarian,1891
Evangelical Christian,1884,Non-sectarian,1891
Catholic,1884,Secular,1891
Roman Catholic,1884,Non-sectarian,1891
Catholic,1885,Secular,1891
Catholic,1885,Secular,1891
Presbyterian Church (USA),1885,Secular,1891
Cumberland Presbyterian,1885,Secular,1891
Episcopal,1885,Non-sectarian,1891
Christian-Baptist,1885,Non-sectarian,1892
Christian,1885,Non-sectarian,1892
Christian,1885,Non-sectarian,1892
Christian,1885,Non-sectarian,1892
Methodist,1885,Non-sectarian,1892
Methodist,1885,Non-sectarian,1892
Trinitarian,1885,Non-sectarian,1893
Christian,1885,Non-sectarian,1893
Presbyterian,1885,Non-sectarian,1893
Christian Reformed Church,1885,Non-sectarian,1893
Catholic Franciscan,1885,Secularism,1893
Roman Catholic,1885,Secularism,1894
Disciples of Christ,1885,Non-sectarian,1894
Catholic,1885,Non-sectarian,1894
Roman Catholic Church,1885,Secularism,1894
Presbyterian Church (USA),1886,Secularism,1894
Presbyterian Church (USA),1886,Non-sectarian,1895
United Methodist Church,1886,Secularism,1896
Methodist,1886,Non-sectarian,1896
Methodist,1886,Secularism,1896
Evangelical,1886,Non-sectarian,1896
Methodist,1886,Non-sectarian,1896
Methodist,1886,Non-sectarian,1896
Brethen,1886,Secular,1896
Catholic,1886,Non-sectarian,1896
Catholic,1886,Non-sectarian,1896
Methodist,1886,Secular,1896
Christian,1887,Non-sectarian,1896
Christian,1887,Non-sectarian,1897
Christian,1887,Non-sectarian,1897
Catholic,1887,Secular,1897
Roman Catholic (Society of Jesus (Jesuits)),1887,Non-sectarian,1897
Christian,1887,Non-sectarian,1897
Christian,1887,Non-sectarian ,1897
Christian,1887,Non-sectarian,1897
Roman Catholic ,1887,Non-sectarian,1897
Catholic,1887,Non-sectarian,1897
Catholic,1887,Secular,1897
Christian,1887,Non-sectarian,1897
Evangelical,1887,Non-sectarian,1898
Benedictine,1887,Non-sectarian,1898
Christian,1887,Secular,1898
United Methodist Church,1887,Non-sectarian,1898
Christian,1887,Non-sectarian,1899
Catholic,1887,Non-sectarian,1899
Menonite,1887,Secular,1899
Methodist,1887,Non-sectarian,1900
Catholic,1887,Non-sectarian,1900
Evangelical,1887,Non-sectarian,1900
Catholic,1888,Secular,1900
Christian,1888,Non-sectarian,1900
Christian,1888,Secularism,1901
Universalist Church,1888,Non-sectarian,1901
Presbyterian,1888,Secular,1901
United Methodist Church,1888,Non-sectarian,1901
Lutheran,1888,Secular,1901
Buddhism,1888,Non-sectarian,1901
Nazarene,1888,Non-sectarian,1901
Catholic,1888,Non-sectarian,1901
Catholic,1889,Non-sectarian,1901
Catholic,1889,Non-sectarian,1901
Roman Catholic,1889,Non-sectarian,1901
Assemblies of God,1889,Non-sectarian,1902
Christian,1889,Non-sectarian,1902
Evangelical,1889,Non-sectarian,1902
United Methodist,1889,Secular,1903
Catholic,1889,Non-sectarian,1903
Episcopal,1889,Non-sectarian,1903
Evangelical,1889,Non-sectarian,1903
Methodist,1889,Secular,1903
Catholic,1889,Non-sectarian,1903
Southern Baptist,1889,Non-sectarian,1903
Catholic,1889,Non-sectarian,1903
Baptist,1889,Non-sectarian,1903
Evangelical Lutheran Church in America,1889,Secular,1903
Christian,1890,Non-sectarian,1903
Christian,1890,Non-sectarian,1903
Baptist,1890,Secular,1904
Methodist,1890,Non-sectarian,1904
Catholic,1890,Secular,1904
Christian,1890,Non-sectarian,1904
Evangelical Christian,1890,Non-sectarian,1904
Catholic,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Christian,1890,Non-sectarian,1904
Catholic,1890,Non-sectarian,1905
Baptist,1890,Non-sectarian,1905
Christian,1890,Secular,1905
Methodist,1890,Non-sectarian,1905
Christian,1890,Non-sectarian,1905
Catholic,1890,Non-sectarian,1905
Christian,1890,Non-sectarian,1906
Catholic,1890,Non-sectarian,1906
Christian,1890,Non-sectarian,1906
Evangelical Christian,1890,Non-sectarian,1906
Christian,1890,Non-sectarian,1906
Christian,1891,Non-sectarian,1906
Baptist Christian,1891,Secular,1906
Baptist Christian,1891,Non-sectarian,1907
Baptist Christian,1891,Non-sectarian,1908
Roman Catholic     ,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Presbyterian,1891,Non-sectarian,1908
Nondenominational,1891,Non-sectarian,1908
Nondenominational,1891,Non-sectarian,1908
Jewish,1891,Non-sectarian,1908
Christian,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1908
Christian Church (Disciples of Christ),1891,Non-sectarian,1908
Christian,1891,Non-sectarian,1908
Catholic,1891,Non-sectarian,1909
Lutheran,1891,Non-sectarian,1909
Catholic,1891,Nonsectarian,1909
Catholic,1891,Non-sectarian,1910
Lutheran,1891,Non-sectarian,1910
United Church of Christ,1891,Non-sectarian,1910
Roman Catholic (De La Salle Brothers),1892,Non-sectarian,1910
Christian,1892,Non-sectarian,1911
Catholic,1892,Non-sectarian,1911
Catholic,1892,Non-sectarian,1911
Muslims,1892,Secularism,1912
Roman Catholic Church,1892,Non-sectarian,1912
Roman Catholic Church,1892,Non-sectarian,1912
Christian,1892,Non-sectarian,1912
Catholic,1892,Non-sectarian,1912
Catholic,1892,Non-sectarian,1912
Roman Catholic,1892,Secular,1913
Catholic,1892,Non-sectarian,1914
Evangelical Lutheran Church in America,1892,Non-sectarian,1915
Baptist ,1892,Non-sectarian,1915
Christian,1893,Non-sectarian,1916
Catholic,1893,Non-sectarian,1916
Baptist,1893,Non-sectarian,1916
Christian,1893,Secular,1917
Christian,1893,Secular,1917
Christian,1893,Non-sectarian,1917
Christian,1893,Non-sectarian,1917
Jewish,1893,Non-sectarian,1917
Baptist,1893,Non-sectarian,1917
Catholic,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
Christian,1894,Non-sectarian,1917
"United Church of Christ, United Methodist Church, Disciples of Christ",1894,Non-sectarian,1917
African Methodist Episcopal Church (AME Church),1894,Non-sectarian,1918
Catholic,1894,Non-sectarian,1918
Reformed Church in America,1894,Non-sectarian,1918
Nondenominational,1895,Secular,1918
Methodist,1895,Non-sectarian,1918
Christian,1895,Non-sectarian,1918
United Methodist Church,1895,Non-sectarian,1918
Evangelical Lutheran Church in America,1895,Non-sectarian,1919
Christian Churches/Churches of Christ,1895,Non-sectarian,1919
Christian,1895,Secular,1919
United Church of Christ,1896,Secular,1919
Catholic,1896,Non-sectarian,1919
Christian,1896,Non-sectarian,1919
Christian,1897,Secularism,1919
Methodist,1897,Secular,1920
Christian,1897,Non-sectarian,1920
Methodist,1897,Non-sectarian,1920
Catholic,1898,Non-sectarian,1920
Baptists,1898,Non-sectarian,1920
Christian,1898,Non-sectarian,1920
Methodist,1898,Non-sectarian,1920
Lutheran Church ,1898,Non-sectarian,1921
Churches of Christ,1898,Secularism,1921
Christian,1898,Secular,1922
Christian,1898,Non-sectarian,1922
Christian,1898,Non-sectarian,1922
Christian,1898,Secular,1922
Nondenominational,1898,Non-sectarian,1922
Methodist,1899,Non-sectarian,1922
Methodist,1899,Non-sectarian,1923
United Methodist Church,1899,Non-sectarian,1923
Roman Catholic,1899,Non-sectarian,1923
Jewish,1899,Non-sectarian,1923
Christian,1899,Non-sectarian,1924
Presbyterian Church (USA) and Evangelical Presbyterian Church,1899,Non-sectarian,1924
Christian,1900,Non-sectarian,1925
Roman Catholic (Sisters of the Holy Names of Jesus and Mary),1900,Secular,1925
Catholic,1900,Secular,1926
Nondenominational,1900,Non-sectarian,1926
Catholic,1900,Non-sectarian,1926
Mesthodist,1900,Non-sectarian,1926
Christian,1900,Secular,1926
Presbytarian,1901,Secular,1926
Christian,1901,Non-sectarian,1926
Catholic,1901,Non-sectarian,1926
Evangelical,1901,Non-sectarian,1926
Methodist,1901,Non-sectarian,1927
Jewish,1902,Non-sectarian,1927
Islam,1902,Secular,1927
Christian,1902,Non-sectarian,1927
Catholic,1902,Non-sectarian,1927
Christian,1902,Non-sectarian,1927
Fanciscan,1902,Non-sectarian,1927
Christian,1902,Non-sectarian,1927
"United Church of Christ, United Methodist Church",1902,Non-sectarian,1927
Christian,1903,Non-sectarian,1927
Lutheran,1903,Non-sectarian,1927
Roman Catholic Church,1903,Secular,1928
Christian,1903,Non-sectarian,1928
Christian,1903,Non-sectarian,1928
Catholic,1903,Non-sectarian,1928
Christian,1903,Non-sectarian,1929
Methodist,1904,Secularism,1929
Lutheran,1905,Non-sectarian,1929
Disciples of Christ,1905,Secular,1929
Christians,1905,Non-sectarian,1929
Catholic,1905,Non-sectarian,1929
Jewish,1905,Non-sectarian,1929
Christian,1905,Non-sectarian,1929
Lutheran,1905,Secularism,1929
Christian,1905,Non-sectarian,1930
Assemblies of God,1906,Non-sectarian,1930
Lutheran,1906,Non-sectarian,1930
Presbyterian Church (USA),1906,Secular,1930
Methodist,1906,Non-sectarian,1930
Churches of Christ,1906,Non-sectarian,1931
Jesuit Catholic,1906,Secular,1931
Nondenominational,1906,Secular,1931
Disciples of Christ,1906,Secular,1931
Jesuit,1907,Non-sectarian,1931
Catholic,1907,Non-sectarian,1931
Christian,1907,Non-sectarian,1931
United Church of Christ,1907,Non-sectarian,1931
Independent Baptist,1907,Non-sectarian,1931
Christian,1907,Non-sectarian,1931
Christian,1907,Secularism,1931
A.M.E Church,1908,Secular,1931
Baptist,1908,Non-sectarian,1932
Judsonia Church of Christ ,1908,Non-sectarian,1932
Christian,1908,Secularism,1932
Catholic,1908,Nonsectarian,1932
Christian,1908,Secularism,1932
Christian,1908,Secular,1932
Christian,1909,Non-sectarian,1932
Baptist,1909,Non-sectarian,1933
Catholic,1909,Non-sectarian,1933
Catholic,1909,Non-sectarian,1933
Christian,1909,Non-sectarian,1934
Cumberland Presbyterian,1909,Non-sectarian,1937
Catholic,1909,Secular,1938
Presbytarian,1909,Non-sectarian,1939
"United Church of Christ, United Methodist Church",1909,Non-sectarian,1940
Reformed,1909,Secularism,1940
Christian,1909,Non-sectarian,1941
Christian,1910,Non-sectarian,1941
Baptist,1910,Non-sectarian,1941
Southern Baptist,1910,Non-sectarian,1941
Assemblies of God,1910,Non-sectarian,1941
Catholic,1910,Secular,1941
Quakers,1911,Non-sectarian,1941
Methodist,1911,Non-sectarian,1941
Catholic,1911,Non-sectarian,1941
Christian,1911,Non-sectarian,1941
Christian,1911,Non-sectarian,1942
Christian,1911,Non-sectarian,1942
Christian,1911,Non-sectarian,1943
Congregational Church,1911,Non-sectarian,1943
Christian,1911,Non-sectarian,1944
Lutheran,1911,Non-sectarian,1944
Presbyterian,1911,Non-sectarian,1944
Nondenominational,1911,Non-sectarian,1945
